"region","date","import_status","cases"
"Aguascalientes","2020-04-16","local",1
"Aguascalientes","2020-05-09","local",1
"Aguascalientes","2020-05-14","local",1
"Aguascalientes","2020-05-22","local",1
"Aguascalientes","2020-05-26","local",2
"Baja California","2020-04-13","local",3
"Baja California","2020-04-14","local",1
"Baja California","2020-04-16","local",1
"Baja California","2020-04-18","local",12
"Baja California","2020-04-19","local",4
"Baja California","2020-04-21","local",13
"Baja California","2020-04-22","local",3
"Baja California","2020-04-23","local",5
"Baja California","2020-04-24","local",4
"Baja California","2020-04-25","local",5
"Baja California","2020-04-27","local",2
"Baja California","2020-04-28","local",9
"Baja California","2020-04-29","local",13
"Baja California","2020-04-30","local",1
"Baja California","2020-05-01","local",1
"Baja California","2020-05-03","local",1
"Baja California","2020-05-04","local",9
"Baja California","2020-05-05","local",21
"Baja California","2020-05-06","local",4
"Baja California","2020-05-07","local",6
"Baja California","2020-05-08","local",9
"Baja California","2020-05-09","local",10
"Baja California","2020-05-10","local",3
"Baja California","2020-05-11","local",1
"Baja California","2020-05-12","local",7
"Baja California","2020-05-13","local",4
"Baja California","2020-05-14","local",2
"Baja California","2020-05-15","local",8
"Baja California","2020-05-16","local",3
"Baja California","2020-05-19","local",5
"Baja California","2020-05-20","local",6
"Baja California","2020-05-21","local",12
"Baja California","2020-05-22","local",1
"Baja California","2020-05-23","local",2
"Baja California","2020-05-24","local",27
"Baja California","2020-05-25","local",1
"Baja California","2020-05-26","local",8
"Baja California","2020-05-27","local",6
"Baja California","2020-05-28","local",6
"Baja California","2020-05-29","local",2
"Baja California","2020-05-30","local",2
"Baja California","2020-06-02","local",2
"Baja California","2020-06-03","local",70
"Baja California Sur","2020-04-17","local",1
"Baja California Sur","2020-04-22","local",1
"Baja California Sur","2020-05-07","local",1
"Baja California Sur","2020-05-28","local",1
"Baja California Sur","2020-05-29","local",1
"Baja California Sur","2020-06-03","local",1
"Campeche","2020-04-24","local",3
"Campeche","2020-04-26","local",1
"Campeche","2020-04-28","local",2
"Campeche","2020-05-02","local",3
"Campeche","2020-05-05","local",1
"Campeche","2020-05-07","local",1
"Campeche","2020-05-11","local",1
"Campeche","2020-05-21","local",1
"Campeche","2020-05-27","local",1
"Campeche","2020-05-30","local",1
"Campeche","2020-05-31","local",1
"Campeche","2020-06-01","local",1
"Campeche","2020-06-03","local",2
"Chiapas","2020-04-21","local",1
"Chiapas","2020-04-29","local",1
"Chiapas","2020-05-05","local",1
"Chiapas","2020-05-08","local",1
"Chiapas","2020-05-12","local",2
"Chiapas","2020-05-15","local",1
"Chiapas","2020-05-16","local",1
"Chiapas","2020-05-20","local",3
"Chiapas","2020-05-21","local",4
"Chiapas","2020-05-24","local",2
"Chiapas","2020-05-25","local",1
"Chiapas","2020-05-26","local",2
"Chiapas","2020-05-27","local",3
"Chiapas","2020-05-29","local",3
"Chiapas","2020-05-30","local",3
"Chiapas","2020-05-31","local",2
"Chiapas","2020-06-02","local",2
"Chihuahua","2020-04-15","local",1
"Chihuahua","2020-04-16","local",3
"Chihuahua","2020-04-18","local",3
