CLAVE_ENTIDAD,ENTIDAD_FEDERATIVA,ABREVIATURA
01,Aguascalientes,AS
02,Baja California,BC
03,Baja California Sur,BS
04,Campeche,CC
05,Coahuila,CL
06,Colima,CM
07,Chiapas,CS
08,Chihuahua,CH
09,Ciudad de México,DF
10,Durango,DG
11,Guanajuato,GT
12,Guerrero,GR
13,Hidalgo,HG
14,Jalisco,JC
15,México,MC
16,Michoacán,MN
17,Morelos,MS
18,Nayarit,NT
19,Nuevo León,NL
20,Oaxaca,OC
21,Puebla,PL
22,Querétaro,QT
23,Quintana Roo,QR
24,San Luis Potosí,SP
25,Sinaloa,SL
26,Sonora,SR
27,Tabasco,TC
28,Tamaulipas,TS
29,Tlaxcala,TL
30,Veracruz,VZ
31,Yucatán,YN
32,Zacatecas,ZS
36,ESTADOS UNIDOS MEXICANOS,EUM
97,NO APLICA,NA
98,SE IGNORA,SI
99,NO ESPECIFICADO,NE
