"","region","date","import_status","cases"
"1","Aguascalientes",2020-04-12,"local",1
"2","Aguascalientes",2020-04-16,"local",1
"3","Aguascalientes",2020-05-09,"local",1
"4","Baja California",2020-04-12,"imported",1
"5","Baja California",2020-04-12,"local",21
"6","Baja California",2020-04-13,"local",3
"7","Baja California",2020-04-14,"local",1
"8","Baja California",2020-04-16,"local",1
"9","Baja California",2020-04-18,"local",12
"10","Baja California",2020-04-19,"local",4
"11","Baja California",2020-04-21,"local",13
"12","Baja California",2020-04-22,"local",3
"13","Baja California",2020-04-23,"local",5
"14","Baja California",2020-04-24,"local",4
"15","Baja California",2020-04-25,"local",5
"16","Baja California",2020-04-27,"local",2
"17","Baja California",2020-04-28,"local",9
"18","Baja California",2020-04-29,"local",13
"19","Baja California",2020-04-30,"local",1
"20","Baja California",2020-05-01,"local",1
"21","Baja California",2020-05-03,"local",1
"22","Baja California",2020-05-04,"local",9
"23","Baja California",2020-05-05,"local",21
"24","Baja California",2020-05-06,"local",4
"25","Baja California",2020-05-07,"local",6
"26","Baja California",2020-05-08,"local",9
"27","Baja California",2020-05-09,"local",10
"28","Baja California Sur",2020-04-12,"local",2
"29","Baja California Sur",2020-04-17,"local",1
"30","Baja California Sur",2020-04-22,"local",1
"31","Baja California Sur",2020-05-07,"local",1
"32","Campeche",2020-04-12,"local",1
"33","Campeche",2020-04-24,"local",2
"34","Campeche",2020-04-26,"local",1
"35","Campeche",2020-04-28,"local",2
"36","Campeche",2020-05-02,"local",3
"37","Campeche",2020-05-05,"local",1
"38","Campeche",2020-05-07,"local",1
"39","Chiapas",2020-04-12,"local",3
"40","Chiapas",2020-04-21,"local",1
"41","Chiapas",2020-04-29,"local",1
"42","Chiapas",2020-05-05,"local",1
"43","Chiapas",2020-05-08,"local",1
"44","Chihuahua",2020-04-12,"local",12
"45","Chihuahua",2020-04-15,"local",1
"46","Chihuahua",2020-04-16,"local",3
"47","Chihuahua",2020-04-18,"local",3
"48","Chihuahua",2020-04-19,"local",1
"49","Chihuahua",2020-04-22,"local",1
"50","Chihuahua",2020-04-23,"local",1
"51","Chihuahua",2020-04-25,"local",4
"52","Chihuahua",2020-04-26,"local",1
"53","Chihuahua",2020-04-28,"local",1
"54","Chihuahua",2020-04-30,"local",1
"55","Chihuahua",2020-05-01,"local",4
"56","Chihuahua",2020-05-02,"local",1
"57","Chihuahua",2020-05-03,"local",2
"58","Chihuahua",2020-05-04,"local",1
"59","Chihuahua",2020-05-05,"local",2
"60","Chihuahua",2020-05-06,"local",2
"61","Chihuahua",2020-05-08,"local",2
