Date_Symptoms,AGUASCALIENTES,BAJA CALIFORNIA,"BAJA CALIFORNIA
SUR",BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,CIUDAD DE MÉXICO,COAHUILA,COLIMA,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MICHOACÁN,MORELOS,MÉXICO,NAYARIT,NUEVO LEÓN,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSÍ,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATÁN,ZACATECAS
2/17/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/19/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2/21/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/22/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/23/2020,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/25/2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/27/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/29/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/1/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/10/2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,5.0,1.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0
3/11/2020,0.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,7.0,0.0,7.0,0.0,4.0,5.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0
3/12/2020,3.0,3.0,0.0,0.0,2.0,0.0,1.0,44.0,0.0,1.0,0.0,3.0,1.0,1.0,20.0,0.0,0.0,10.0,0.0,9.0,2.0,5.0,0.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,4.0,8.0,1.0
3/13/2020,0.0,7.0,0.0,0.0,0.0,2.0,2.0,62.0,2.0,0.0,0.0,0.0,2.0,3.0,28.0,0.0,0.0,19.0,0.0,14.0,0.0,9.0,6.0,8.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,13.0,2.0
3/14/2020,4.0,0.0,0.0,0.0,0.0,3.0,0.0,87.0,0.0,0.0,0.0,6.0,0.0,4.0,36.0,0.0,1.0,24.0,0.0,22.0,0.0,13.0,7.0,11.0,4.0,3.0,0.0,6.0,0.0,0.0,7.0,16.0,0.0
3/15/2020,5.0,9.0,0.0,0.0,0.0,0.0,3.0,106.0,0.0,2.0,2.0,9.0,4.0,0.0,39.0,8.0,0.0,30.0,0.0,29.0,0.0,16.0,8.0,16.0,7.0,4.0,4.0,7.0,0.0,0.0,9.0,17.0,0.0
3/16/2020,7.0,10.0,0.0,3.0,0.0,0.0,4.0,130.0,4.0,0.0,0.0,19.0,0.0,6.0,46.0,9.0,2.0,41.0,0.0,30.0,3.0,26.0,12.0,18.0,9.0,5.0,6.0,9.0,4.0,2.0,11.0,19.0,0.0
3/17/2020,9.0,13.0,0.0,0.0,0.0,0.0,0.0,149.0,6.0,0.0,0.0,21.0,5.0,0.0,59.0,10.0,3.0,47.0,2.0,38.0,0.0,30.0,15.0,22.0,10.0,7.0,11.0,11.0,0.0,3.0,13.0,24.0,0.0
3/18/2020,13.0,20.0,0.0,0.0,3.0,0.0,5.0,166.0,10.0,0.0,4.0,23.0,7.0,8.0,65.0,14.0,0.0,56.0,0.0,44.0,0.0,36.0,17.0,26.0,14.0,0.0,12.0,16.0,0.0,0.0,17.0,28.0,3.0
3/19/2020,15.0,24.0,0.0,0.0,0.0,0.0,6.0,187.0,13.0,0.0,0.0,24.0,8.0,9.0,0.0,0.0,4.0,65.0,3.0,49.0,4.0,37.0,0.0,28.0,16.0,8.0,13.0,23.0,0.0,0.0,19.0,35.0,4.0
3/2/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,50.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/20/2020,17.0,28.0,1.0,0.0,4.0,5.0,7.0,205.0,19.0,0.0,0.0,31.0,11.0,12.0,70.0,15.0,7.0,78.0,0.0,55.0,7.0,44.0,20.0,33.0,0.0,11.0,14.0,27.0,6.0,0.0,25.0,38.0,0.0
3/21/2020,0.0,29.0,0.0,7.0,0.0,6.0,8.0,214.0,26.0,0.0,0.0,35.0,14.0,13.0,76.0,0.0,0.0,86.0,4.0,57.0,8.0,52.0,21.0,37.0,17.0,13.0,0.0,31.0,7.0,0.0,26.0,41.0,5.0
3/22/2020,20.0,0.0,2.0,10.0,0.0,9.0,0.0,221.0,28.0,0.0,0.0,40.0,0.0,0.0,81.0,19.0,0.0,93.0,0.0,59.0,9.0,60.0,23.0,39.0,19.0,18.0,16.0,32.0,8.0,4.0,0.0,44.0,0.0
3/23/2020,28.0,31.0,0.0,13.0,0.0,11.0,0.0,228.0,31.0,0.0,5.0,0.0,15.0,16.0,84.0,0.0,9.0,109.0,5.0,61.0,12.0,70.0,24.0,42.0,0.0,22.0,0.0,36.0,0.0,0.0,0.0,45.0,0.0
3/24/2020,0.0,33.0,0.0,14.0,0.0,12.0,10.0,238.0,37.0,0.0,0.0,42.0,0.0,18.0,87.0,0.0,0.0,119.0,7.0,0.0,14.0,74.0,0.0,45.0,23.0,23.0,17.0,39.0,9.0,5.0,0.0,0.0,0.0
3/25/2020,32.0,0.0,0.0,15.0,0.0,15.0,0.0,248.0,39.0,3.0,0.0,44.0,0.0,0.0,89.0,22.0,0.0,127.0,0.0,62.0,0.0,76.0,0.0,47.0,26.0,26.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0
3/26/2020,34.0,35.0,0.0,16.0,0.0,0.0,11.0,256.0,44.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,15.0,78.0,26.0,48.0,0.0,28.0,18.0,45.0,0.0,0.0,0.0,0.0,0.0
3/27/2020,36.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,48.0,0.0,0.0,49.0,0.0,19.0,91.0,23.0,0.0,145.0,8.0,0.0,17.0,82.0,0.0,49.0,28.0,30.0,0.0,46.0,0.0,0.0,27.0,46.0,0.0
3/28/2020,0.0,36.0,0.0,0.0,0.0,0.0,0.0,262.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,19.0,88.0,0.0,0.0,29.0,31.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0
3/29/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,20.0,89.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0
