Region,Date_Confirmed,Region_Delta,Region_Cumulative,Mexico_Cumulative
AGUASCALIENTES,02/04/2020,6,6,6
AGUASCALIENTES,03/04/2020,5,11,11
AGUASCALIENTES,04/04/2020,1,12,12
AGUASCALIENTES,06/04/2020,2,14,14
AGUASCALIENTES,07/04/2020,9,23,23
AGUASCALIENTES,08/04/2020,9,32,32
AGUASCALIENTES,09/04/2020,7,39,39
AGUASCALIENTES,16/03/2020,1,40,40
AGUASCALIENTES,19/03/2020,3,43,43
AGUASCALIENTES,23/03/2020,2,45,45
AGUASCALIENTES,25/03/2020,6,51,51
AGUASCALIENTES,26/03/2020,1,52,52
AGUASCALIENTES,27/03/2020,6,58,58
AGUASCALIENTES,29/03/2020,5,63,63
AGUASCALIENTES,31/03/2020,12,75,75
BAJA CALIFORNIA,01/04/2020,2,2,2
BAJA CALIFORNIA,02/04/2020,2,4,10
BAJA CALIFORNIA,03/04/2020,2,6,17
BAJA CALIFORNIA,04/04/2020,1,7,19
BAJA CALIFORNIA,05/04/2020,9,16,16
BAJA CALIFORNIA,06/04/2020,13,29,43
BAJA CALIFORNIA,07/04/2020,18,47,70
BAJA CALIFORNIA,08/04/2020,25,72,104
BAJA CALIFORNIA,09/04/2020,14,86,125
BAJA CALIFORNIA,18/03/2020,2,88,88
BAJA CALIFORNIA,20/03/2020,2,90,90
BAJA CALIFORNIA,21/03/2020,4,94,94
BAJA CALIFORNIA,22/03/2020,3,97,97
BAJA CALIFORNIA,23/03/2020,2,99,144
BAJA CALIFORNIA,25/03/2020,1,100,151
BAJA CALIFORNIA,26/03/2020,5,105,157
BAJA CALIFORNIA,27/03/2020,1,106,164
BAJA CALIFORNIA,29/03/2020,3,109,172
BAJA CALIFORNIA,30/03/2020,4,113,113
BAJA CALIFORNIA,31/03/2020,8,121,196
"BAJA CALIFORNIA
SUR",26/03/2020,2,2,159
BAJA CALIFORNIA SUR,01/04/2020,1,1,3
BAJA CALIFORNIA SUR,02/04/2020,1,2,12
BAJA CALIFORNIA SUR,03/04/2020,2,4,21
BAJA CALIFORNIA SUR,04/04/2020,7,11,30
BAJA CALIFORNIA SUR,05/04/2020,5,16,32
BAJA CALIFORNIA SUR,06/04/2020,7,23,66
BAJA CALIFORNIA SUR,07/04/2020,9,32,102
BAJA CALIFORNIA SUR,08/04/2020,10,42,146
BAJA CALIFORNIA SUR,09/04/2020,5,47,172
BAJA CALIFORNIA SUR,21/03/2020,1,48,142
BAJA CALIFORNIA SUR,23/03/2020,1,49,193
BAJA CALIFORNIA SUR,25/03/2020,3,52,203
BAJA CALIFORNIA SUR,27/03/2020,2,54,218
BAJA CALIFORNIA SUR,29/03/2020,2,56,228
BAJA CALIFORNIA SUR,30/03/2020,2,58,171
BAJA CALIFORNIA SUR,31/03/2020,4,62,258
CAMPECHE,03/04/2020,1,1,22
CAMPECHE,04/04/2020,2,3,33
CAMPECHE,06/04/2020,1,4,70
CAMPECHE,07/04/2020,1,5,107
CAMPECHE,08/04/2020,1,6,152
CAMPECHE,09/04/2020,1,7,179
CAMPECHE,22/03/2020,1,8,105
CAMPECHE,23/03/2020,1,9,202
CAMPECHE,28/03/2020,1,10,10
CAMPECHE,31/03/2020,2,12,270
CHIAPAS,01/03/2020,1,1,1
CHIAPAS,01/04/2020,2,3,6
CHIAPAS,02/04/2020,2,5,17
CHIAPAS,03/04/2020,3,8,30
CHIAPAS,04/04/2020,1,9,42
CHIAPAS,05/04/2020,5,14,46
CHIAPAS,06/04/2020,2,16,86
CHIAPAS,07/04/2020,5,21,128
CHIAPAS,08/04/2020,5,26,178
CHIAPAS,09/04/2020,1,27,206
CHIAPAS,19/03/2020,1,28,71
CHIAPAS,25/03/2020,2,30,233
CHIAPAS,27/03/2020,3,33,251
CHIAPAS,29/03/2020,4,37,265
CHIAPAS,30/03/2020,1,38,209
CHIAPAS,31/03/2020,2,40,310
CHIHUAHUA,01/04/2020,4,4,10
CHIHUAHUA,02/04/2020,1,5,22
CHIHUAHUA,03/04/2020,1,6,36
CHIHUAHUA,04/04/2020,1,7,49
CHIHUAHUA,05/04/2020,2,9,55
CHIHUAHUA,06/04/2020,3,12,98
CHIHUAHUA,07/04/2020,1,13,141
CHIHUAHUA,08/04/2020,1,14,192
CHIHUAHUA,17/03/2020,1,15,15
CHIHUAHUA,20/03/2020,1,16,106
CHIHUAHUA,22/03/2020,3,19,124
CHIHUAHUA,24/03/2020,1,20,20
CHIHUAHUA,31/03/2020,1,21,331
CIUDAD DE MÉXICO,01/04/2020,63,63,73
CIUDAD DE MÉXICO,02/04/2020,35,98,120
CIUDAD DE MÉXICO,03/04/2020,46,144,180
CIUDAD DE MÉXICO,04/04/2020,86,230,279
CIUDAD DE MÉXICO,05/04/2020,101,331,386
CIUDAD DE MÉXICO,07/03/2020,1,332,332
CIUDAD DE MÉXICO,07/04/2020,85,417,558
CIUDAD DE MÉXICO,08/04/2020,108,525,717
CIUDAD DE MÉXICO,09/04/2020,66,591,797
CIUDAD DE MÉXICO,11/03/2020,2,593,593
CIUDAD DE MÉXICO,13/03/2020,6,599,599
CIUDAD DE MÉXICO,14/03/2020,6,605,605
CIUDAD DE MÉXICO,15/03/2020,1,606,606
