Date_Confirmed,AGUASCALIENTES,BAJA CALIFORNIA,"BAJA CALIFORNIA
SUR",BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,CIUDAD DE MEXICO,COAHUILA,COLIMA,DISTRITO FEDERAL,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MEXICO,MICHOACAN,MORELOS,NAYARIT,NUEVO LEON,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSI,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATAN,ZACATECAS
01-03-2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-04-2020,0.0,2.0,0.0,1.0,0.0,2.0,4.0,63.0,13.0,1.0,0.0,0.0,3.0,2.0,2.0,6.0,14.0,3.0,2.0,2.0,2.0,8.0,16.0,0.0,4.0,6.0,5.0,1.0,4.0,1.0,1.0,1.0,3.0,0.0
04-02-2020,6.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,1.0,0.0,0.0,1.0,1.0,4.0,5.0,5.0,13.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0
04-03-2020,1.0,1.0,0.0,2.0,1.0,2.0,1.0,38.0,7.0,1.0,0.0,0.0,1.0,2.0,2.0,12.0,5.0,0.0,3.0,0.0,1.0,0.0,8.0,3.0,8.0,2.0,8.0,1.0,8.0,2.0,3.0,5.0,6.0,0.0
04-04-2020,1.0,1.0,0.0,6.0,2.0,1.0,1.0,76.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,4.0,6.0,2.0,2.0,1.0,3.0,0.0,16.0,1.0,9.0,0.0,23.0,5.0,9.0,3.0,1.0,2.0,3.0,3.0
04-05-2020,0.0,7.0,0.0,1.0,0.0,5.0,1.0,85.0,8.0,0.0,0.0,2.0,0.0,4.0,2.0,4.0,13.0,1.0,1.0,0.0,3.0,3.0,18.0,2.0,8.0,2.0,8.0,1.0,11.0,6.0,2.0,3.0,5.0,0.0
06-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06-04-2020,2.0,13.0,0.0,7.0,1.0,2.0,3.0,0.0,20.0,1.0,72.0,1.0,7.0,4.0,1.0,21.0,42.0,3.0,2.0,2.0,19.0,2.0,15.0,3.0,11.0,4.0,7.0,2.0,13.0,4.0,0.0,8.0,2.0,2.0
07-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07-04-2020,9.0,17.0,0.0,9.0,1.0,5.0,1.0,83.0,11.0,1.0,0.0,3.0,7.0,5.0,3.0,13.0,34.0,13.0,3.0,0.0,19.0,3.0,23.0,4.0,12.0,5.0,15.0,8.0,11.0,4.0,4.0,3.0,15.0,2.0
08-04-2020,9.0,26.0,0.0,10.0,1.0,5.0,1.0,110.0,10.0,1.0,0.0,2.0,8.0,6.0,5.0,12.0,38.0,13.0,3.0,0.0,20.0,3.0,25.0,4.0,14.0,5.0,15.0,10.0,10.0,5.0,4.0,3.0,16.0,2.0
09-04-2020,7.0,14.0,0.0,5.0,1.0,1.0,0.0,66.0,7.0,1.0,0.0,2.0,9.0,2.0,2.0,14.0,26.0,9.0,2.0,0.0,10.0,4.0,17.0,2.0,10.0,3.0,9.0,7.0,8.0,3.0,4.0,2.0,12.0,1.0
10-04-2020,9.0,19.0,0.0,11.0,1.0,3.0,7.0,102.0,11.0,1.0,0.0,2.0,11.0,4.0,5.0,13.0,46.0,12.0,4.0,0.0,17.0,4.0,24.0,3.0,15.0,5.0,22.0,9.0,13.0,4.0,7.0,3.0,15.0,2.0
11-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-04-2020,9.0,17.0,0.0,10.0,1.0,2.0,6.0,93.0,12.0,1.0,0.0,2.0,12.0,3.0,3.0,13.0,40.0,10.0,2.0,0.0,18.0,4.0,23.0,3.0,18.0,4.0,19.0,9.0,14.0,3.0,5.0,3.0,15.0,1.0
12-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-04-2020,9.0,27.0,0.0,13.0,1.0,2.0,6.0,118.0,12.0,1.0,0.0,2.0,12.0,5.0,5.0,13.0,44.0,13.0,2.0,0.0,21.0,4.0,27.0,5.0,19.0,4.0,22.0,10.0,14.0,4.0,6.0,4.0,16.0,1.0
13-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13-04-2020,7.0,26.0,0.0,10.0,2.0,1.0,1.0,87.0,13.0,1.0,0.0,2.0,12.0,5.0,3.0,13.0,33.0,10.0,2.0,0.0,15.0,4.0,16.0,2.0,16.0,2.0,22.0,10.0,10.0,4.0,4.0,3.0,16.0,1.0
14-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-04-2020,7.0,26.0,0.0,10.0,2.0,1.0,2.0,103.0,16.0,1.0,0.0,1.0,13.0,8.0,4.0,13.0,36.0,10.0,2.0,0.0,15.0,4.0,17.0,2.0,17.0,3.0,22.0,10.0,12.0,4.0,4.0,3.0,16.0,1.0
15-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-04-2020,7.0,31.0,0.0,12.0,3.0,1.0,3.0,122.0,16.0,1.0,0.0,2.0,13.0,8.0,4.0,15.0,43.0,11.0,2.0,0.0,17.0,4.0,23.0,3.0,20.0,3.0,29.0,10.0,15.0,5.0,4.0,4.0,16.0,1.0
16-03-2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
16-04-2020,7.0,30.0,0.0,10.0,3.0,1.0,3.0,124.0,17.0,1.0,0.0,2.0,13.0,8.0,4.0,14.0,42.0,12.0,3.0,0.0,17.0,4.0,20.0,3.0,22.0,3.0,33.0,11.0,12.0,6.0,4.0,4.0,16.0,1.0
17-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
18-03-2020,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0
19-03-2020,3.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0
20-03-2020,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,0.0,2.0,0.0,10.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
