Date_Confirmed,China,Italy,Spain,United Kingdom,"Korea, South",US,Mexico,AGUASCALIENTES,BAJA CALIFORNIA,"BAJA CALIFORNIA
SUR",BAJA CALIFORNIA SUR,CAMPECHE,CDMX,CHIAPAS,CHIHUAHUA,COAHUILA,COLIMA,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MEXICO,MICHOACAN,MORELOS,NAYARIT,NUEVO LEON,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSI,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATAN,ZACATECAS,Mexico_SS
2020-02-15,62.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-16,64.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-17,58.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-18,54.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-19,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-20,14.0,0.0,0.0,0.0,73.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-21,14.0,17.0,0.0,0.0,100.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-22,44.0,42.0,0.0,0.0,229.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-23,1.0,93.0,0.0,0.0,169.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-24,7.0,74.0,0.0,0.0,231.0,36.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-25,15.0,93.0,4.0,0.0,144.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-26,13.0,131.0,7.0,0.0,284.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-27,13.0,202.0,2.0,0.0,505.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-02-28,10.0,233.0,17.0,1.0,571.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-02-29,13.0,240.0,13.0,0.0,813.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-01,17.0,566.0,39.0,1.0,586.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,6.0,342.0,36.0,1.0,599.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,4.0,466.0,45.0,1.0,851.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,4.0,587.0,57.0,3.0,435.0,31.0,0.0,5.0,2.0,0.0,2.0,1.0,46.0,3.0,1.0,8.0,1.0,1.0,2.0,4.0,4.0,16.0,12.0,0.0,3.0,0.0,6.0,0.0,8.0,3.0,11.0,2.0,8.0,1.0,11.0,2.0,3.0,5.0,6.0,1.0,178.0
2020-03-05,5.0,769.0,37.0,3.0,467.0,68.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,4.0,778.0,141.0,4.0,505.0,45.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,3.0,1247.0,100.0,4.0,448.0,140.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,1.0,1492.0,173.0,6.0,273.0,116.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,1.0,1797.0,400.0,4.0,164.0,65.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,1.0,977.0,622.0,6.0,35.0,376.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,1.0,2313.0,582.0,7.0,242.0,322.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
