Date_Confirmed,Region,total,daily
15-02-2020,China,2073.0,62.0
15-02-2020,Italy,3.0,0.0
15-02-2020,Spain,2.0,0.0
15-02-2020,United Kingdom,1.0,0.0
15-02-2020,"Korea, South",28.0,0.0
15-02-2020,US,13.0,0.0
16-02-2020,China,2137.0,64.0
16-02-2020,Italy,3.0,0.0
16-02-2020,Spain,2.0,0.0
16-02-2020,United Kingdom,1.0,0.0
16-02-2020,"Korea, South",29.0,1.0
16-02-2020,US,13.0,0.0
17-02-2020,China,2195.0,58.0
17-02-2020,Italy,3.0,0.0
17-02-2020,Spain,2.0,0.0
17-02-2020,United Kingdom,1.0,0.0
17-02-2020,"Korea, South",30.0,1.0
17-02-2020,US,13.0,0.0
18-02-2020,China,2249.0,54.0
18-02-2020,Italy,3.0,0.0
18-02-2020,Spain,2.0,0.0
18-02-2020,United Kingdom,1.0,0.0
18-02-2020,"Korea, South",31.0,1.0
18-02-2020,US,13.0,0.0
19-02-2020,China,2261.0,12.0
19-02-2020,Italy,3.0,0.0
19-02-2020,Spain,2.0,0.0
19-02-2020,United Kingdom,1.0,0.0
19-02-2020,"Korea, South",31.0,0.0
19-02-2020,US,13.0,0.0
20-02-2020,China,2275.0,14.0
20-02-2020,Italy,3.0,0.0
20-02-2020,Spain,2.0,0.0
20-02-2020,United Kingdom,1.0,0.0
20-02-2020,"Korea, South",104.0,73.0
20-02-2020,US,13.0,0.0
21-02-2020,China,2289.0,14.0
21-02-2020,Italy,20.0,17.0
21-02-2020,Spain,2.0,0.0
21-02-2020,United Kingdom,1.0,0.0
21-02-2020,"Korea, South",204.0,100.0
21-02-2020,US,15.0,2.0
22-02-2020,China,2333.0,44.0
22-02-2020,Italy,62.0,42.0
22-02-2020,Spain,2.0,0.0
22-02-2020,United Kingdom,1.0,0.0
22-02-2020,"Korea, South",433.0,229.0
22-02-2020,US,15.0,0.0
23-02-2020,China,2334.0,1.0
23-02-2020,Italy,155.0,93.0
23-02-2020,Spain,2.0,0.0
23-02-2020,United Kingdom,1.0,0.0
23-02-2020,"Korea, South",602.0,169.0
23-02-2020,US,15.0,0.0
24-02-2020,China,2341.0,7.0
24-02-2020,Italy,229.0,74.0
24-02-2020,Spain,2.0,0.0
24-02-2020,United Kingdom,1.0,0.0
24-02-2020,"Korea, South",833.0,231.0
24-02-2020,US,51.0,36.0
25-02-2020,China,2356.0,15.0
25-02-2020,Italy,322.0,93.0
25-02-2020,Spain,6.0,4.0
25-02-2020,United Kingdom,1.0,0.0
25-02-2020,"Korea, South",977.0,144.0
25-02-2020,US,51.0,0.0
26-02-2020,China,2369.0,13.0
26-02-2020,Italy,453.0,131.0
26-02-2020,Spain,13.0,7.0
26-02-2020,United Kingdom,1.0,0.0
26-02-2020,"Korea, South",1261.0,284.0
26-02-2020,US,57.0,6.0
27-02-2020,China,2382.0,13.0
27-02-2020,Italy,655.0,202.0
27-02-2020,Spain,15.0,2.0
27-02-2020,United Kingdom,1.0,0.0
27-02-2020,"Korea, South",1766.0,505.0
27-02-2020,US,58.0,1.0
27-02-2020,CDMX,1841.0,1.0
27-02-2020,Mexico_SS,1841.0,1.0
28-02-2020,China,2392.0,10.0
28-02-2020,Italy,888.0,233.0
28-02-2020,Spain,32.0,17.0
28-02-2020,United Kingdom,2.0,1.0
28-02-2020,"Korea, South",2337.0,571.0
28-02-2020,US,60.0,2.0
28-02-2020,Mexico,1.0,1.0
28-02-2020,CDMX,1841.0,0.0
28-02-2020,SINALOA,340.0,1.0
28-02-2020,Mexico_SS,340.0,1.0
29-02-2020,China,2405.0,13.0
29-02-2020,Italy,1128.0,240.0
29-02-2020,Spain,45.0,13.0
29-02-2020,United Kingdom,2.0,0.0
29-02-2020,"Korea, South",3150.0,813.0
29-02-2020,US,68.0,8.0
29-02-2020,Mexico,4.0,3.0
29-02-2020,CDMX,1937.0,1.0
29-02-2020,COAHUILA,245.0,1.0
29-02-2020,SINALOA,340.0,0.0
29-02-2020,Mexico_SS,2182.0,2.0
01-03-2020,China,2422.0,17.0
01-03-2020,Italy,1694.0,566.0
01-03-2020,Spain,84.0,39.0
01-03-2020,United Kingdom,3.0,1.0
01-03-2020,"Korea, South",3736.0,586.0
01-03-2020,US,74.0,6.0
01-03-2020,Mexico,5.0,1.0
02-03-2020,China,2428.0,6.0
02-03-2020,Italy,2036.0,342.0
02-03-2020,Spain,120.0,36.0
02-03-2020,United Kingdom,4.0,1.0
02-03-2020,"Korea, South",4335.0,599.0
02-03-2020,US,98.0,24.0
02-03-2020,Mexico,5.0,0.0
03-03-2020,China,2432.0,4.0
03-03-2020,Italy,2502.0,466.0
03-03-2020,Spain,165.0,45.0
03-03-2020,United Kingdom,5.0,1.0
03-03-2020,"Korea, South",5186.0,851.0
03-03-2020,US,118.0,20.0
03-03-2020,Mexico,5.0,0.0
04-03-2020,China,2436.0,4.0
04-03-2020,Italy,3089.0,587.0
04-03-2020,Spain,222.0,57.0
04-03-2020,United Kingdom,8.0,3.0
04-03-2020,"Korea, South",5621.0,435.0
04-03-2020,US,149.0,31.0
04-03-2020,Mexico,5.0,0.0
04-03-2020,AGUASCALIENTES,11.0,5.0
04-03-2020,BAJA CALIFORNIA,6.0,2.0
04-03-2020,BAJA CALIFORNIA SUR,4.0,2.0
04-03-2020,CAMPECHE,1.0,1.0
04-03-2020,CDMX,144.0,46.0
04-03-2020,CHIAPAS,8.0,3.0
04-03-2020,CHIHUAHUA,6.0,1.0
04-03-2020,COAHUILA,27.0,8.0
04-03-2020,COLIMA,3.0,1.0
04-03-2020,DURANGO,2.0,1.0
04-03-2020,GUANAJUATO,8.0,2.0
04-03-2020,GUERRERO,10.0,4.0
04-03-2020,HIDALGO,11.0,4.0
04-03-2020,JALISCO,29.0,16.0
04-03-2020,MEXICO,39.0,12.0
04-03-2020,MORELOS,5.0,3.0
04-03-2020,NUEVO LEON,16.0,6.0
04-03-2020,PUEBLA,25.0,8.0
04-03-2020,QUERETARO,3.0,3.0
04-03-2020,QUINTANA ROO,20.0,11.0
04-03-2020,SAN LUIS POTOSI,11.0,2.0
04-03-2020,SINALOA,15.0,8.0
04-03-2020,SONORA,2.0,1.0
04-03-2020,TABASCO,19.0,11.0
04-03-2020,TAMAULIPAS,7.0,2.0
04-03-2020,TLAXCALA,4.0,3.0
04-03-2020,VERACRUZ,7.0,5.0
04-03-2020,YUCATAN,9.0,6.0
04-03-2020,ZACATECAS,2.0,1.0
04-03-2020,Mexico_SS,454.0,178.0
05-03-2020,China,2441.0,5.0
05-03-2020,Italy,3858.0,769.0
05-03-2020,Spain,259.0,37.0
05-03-2020,United Kingdom,11.0,3.0
05-03-2020,"Korea, South",6088.0,467.0
05-03-2020,US,217.0,68.0
05-03-2020,Mexico,5.0,0.0
06-03-2020,China,2445.0,4.0
06-03-2020,Italy,4636.0,778.0
06-03-2020,Spain,400.0,141.0
06-03-2020,United Kingdom,15.0,4.0
06-03-2020,"Korea, South",6593.0,505.0
06-03-2020,US,262.0,45.0
06-03-2020,Mexico,6.0,1.0
07-03-2020,China,2448.0,3.0
07-03-2020,Italy,5883.0,1247.0
07-03-2020,Spain,500.0,100.0
07-03-2020,United Kingdom,19.0,4.0
07-03-2020,"Korea, South",7041.0,448.0
07-03-2020,US,402.0,140.0
07-03-2020,Mexico,6.0,0.0
