Date_Confirmed,China,Italy,Spain,United Kingdom,"Korea, South",US,AGUASCALIENTES,BAJA CALIFORNIA,"BAJA CALIFORNIA
SUR",BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,CIUDAD DE MÉXICO,COAHUILA,COLIMA,DISTRITO FEDERAL,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MEXICO,MICHOACAN,MICHOACÁN,MORELOS,MÉXICO,NAYARIT,NUEVO LEON,NUEVO LEÓN,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSI,SAN LUIS POTOSÍ,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATAN,YUCATÁN,ZACATECAS,Mexico
2020-02-20,2275.0,3.0,2.0,1.0,104.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-21,2289.0,20.0,2.0,1.0,204.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-22,2333.0,62.0,2.0,1.0,433.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-23,2334.0,155.0,2.0,1.0,602.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-24,2341.0,229.0,2.0,1.0,833.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-25,2356.0,322.0,6.0,1.0,977.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-26,2369.0,453.0,13.0,1.0,1261.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-27,2382.0,655.0,15.0,1.0,1766.0,58.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2020-02-28,2392.0,888.0,32.0,2.0,2337.0,60.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0
2020-02-29,2405.0,1128.0,45.0,2.0,3150.0,68.0,,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,6.0
2020-03-01,2422.0,1694.0,84.0,3.0,3736.0,74.0,,,,,,2.0,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0
2020-03-02,2428.0,2036.0,120.0,4.0,4335.0,98.0,,,,,,2.0,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0
2020-03-03,2432.0,2502.0,165.0,5.0,5186.0,118.0,,,,,,2.0,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0
2020-03-04,2436.0,3089.0,222.0,8.0,5621.0,149.0,,,,,,2.0,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0
2020-03-05,2441.0,3858.0,259.0,11.0,6088.0,217.0,,,,,,2.0,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0
2020-03-06,2445.0,4636.0,400.0,15.0,6593.0,262.0,,,,,,2.0,,4.0,2.0,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,2.0
2020-03-07,2448.0,5883.0,500.0,19.0,7041.0,402.0,,,,,,2.0,,6.0,2.0,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,6.0
2020-03-08,2449.0,7375.0,673.0,25.0,7314.0,518.0,,,,,,2.0,,6.0,2.0,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,6.0
2020-03-09,2450.0,9172.0,1073.0,29.0,7478.0,583.0,,,,,,2.0,,6.0,2.0,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,6.0
2020-03-10,2451.0,10149.0,1695.0,35.0,7513.0,959.0,,,,,,2.0,,6.0,2.0,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,6.0
2020-03-11,2452.0,12462.0,2277.0,42.0,7755.0,1281.0,,,,,,2.0,,10.0,2.0,,,,,,,,,,,,4.0,,,2.0,,,2.0,,,,2.0,,,,,,,,,18.0
2020-03-12,2452.0,12462.0,2277.0,42.0,7869.0,1663.0,,,,,,2.0,,10.0,2.0,,,2.0,,,,,,,,,6.0,,,2.0,,,4.0,,,,2.0,,,,,,,,,12.0
2020-03-13,2453.0,17660.0,5232.0,73.0,7979.0,2179.0,,,,,,2.0,,22.0,2.0,,,2.0,,,,,,,,,6.0,,,2.0,,2.0,8.0,2.0,,,2.0,,,,,,,2.0,,36.0
2020-03-14,2454.0,21157.0,6391.0,104.0,8086.0,2727.0,,,,,,2.0,,34.0,2.0,,,2.0,,,,4.0,,,,,8.0,,,6.0,2.0,6.0,8.0,2.0,,2.0,2.0,,,,,,,2.0,,62.0
2020-03-15,2455.0,24747.0,7798.0,104.0,8162.0,3499.0,,,,,,2.0,,36.0,2.0,,,4.0,,4.0,,4.0,,,,,8.0,,,10.0,4.0,8.0,12.0,2.0,,4.0,4.0,,,,,,,2.0,,86.0
2020-03-16,2456.0,27980.0,9942.0,141.0,8236.0,4632.0,2.0,,,,,2.0,,42.0,2.0,,,6.0,,4.0,,4.0,,,,,18.0,,,26.0,4.0,16.0,14.0,8.0,,4.0,4.0,,,,,,,8.0,,140.0
2020-03-17,2456.0,31506.0,11748.0,178.0,8320.0,6421.0,2.0,,,,,2.0,2.0,42.0,2.0,,,6.0,2.0,4.0,,10.0,,,,,20.0,,,28.0,4.0,18.0,14.0,8.0,,4.0,4.0,2.0,,2.0,,,,10.0,,94.0
2020-03-18,2458.0,35713.0,13910.0,240.0,8413.0,7783.0,2.0,4.0,,,,2.0,2.0,48.0,2.0,2.0,,6.0,8.0,4.0,,12.0,,,,,20.0,,,38.0,4.0,18.0,14.0,12.0,,6.0,4.0,2.0,2.0,4.0,,4.0,,16.0,,156.0
2020-03-19,2459.0,41035.0,17963.0,247.0,8565.0,13747.0,8.0,4.0,,,,4.0,2.0,62.0,2.0,2.0,,6.0,8.0,8.0,4.0,44.0,,,,,20.0,,,38.0,4.0,22.0,18.0,12.0,,14.0,6.0,4.0,2.0,4.0,,4.0,,26.0,,220.0
2020-03-20,2462.0,47021.0,20410.0,365.0,8652.0,19273.0,8.0,8.0,,,,4.0,4.0,64.0,2.0,2.0,,8.0,8.0,8.0,4.0,56.0,,,,4.0,28.0,,,58.0,4.0,28.0,22.0,22.0,,14.0,6.0,4.0,4.0,4.0,,8.0,,26.0,,314.0
2020-03-21,2464.0,53578.0,25374.0,461.0,8799.0,25600.0,8.0,16.0,,2.0,,4.0,4.0,92.0,6.0,4.0,,10.0,8.0,8.0,6.0,64.0,,,,4.0,28.0,2.0,,64.0,4.0,32.0,28.0,24.0,,18.0,6.0,4.0,8.0,6.0,,14.0,,28.0,2.0,426.0
2020-03-22,2468.0,59138.0,28768.0,522.0,8961.0,33276.0,8.0,22.0,,2.0,2.0,4.0,10.0,114.0,20.0,4.0,,10.0,8.0,8.0,10.0,82.0,,,6.0,4.0,44.0,2.0,,70.0,6.0,32.0,28.0,24.0,,24.0,8.0,8.0,10.0,8.0,,14.0,,38.0,4.0,486.0
2020-03-23,2470.0,63927.0,35136.0,611.0,8961.0,43843.0,12.0,26.0,,4.0,4.0,4.0,10.0,122.0,24.0,4.0,,10.0,14.0,10.0,14.0,92.0,,,14.0,4.0,44.0,2.0,,80.0,8.0,32.0,32.0,42.0,,32.0,8.0,8.0,12.0,10.0,,14.0,,38.0,6.0,558.0
2020-03-24,2472.0,69176.0,39885.0,742.0,9037.0,53736.0,12.0,26.0,,4.0,4.0,4.0,12.0,134.0,24.0,4.0,,10.0,24.0,12.0,14.0,92.0,,,16.0,4.0,44.0,2.0,,104.0,8.0,44.0,32.0,44.0,,32.0,8.0,8.0,12.0,10.0,,14.0,,48.0,6.0,438.0
2020-03-25,2475.0,74386.0,49515.0,876.0,9137.0,65778.0,24.0,28.0,,10.0,4.0,8.0,12.0,166.0,24.0,4.0,,10.0,38.0,14.0,14.0,92.0,,,20.0,4.0,52.0,8.0,,104.0,14.0,68.0,36.0,44.0,,34.0,8.0,8.0,12.0,12.0,2.0,14.0,,58.0,6.0,592.0
2020-03-26,2478.0,80589.0,57786.0,1074.0,9241.0,83836.0,26.0,38.0,4.0,10.0,4.0,8.0,12.0,168.0,26.0,4.0,,10.0,46.0,14.0,24.0,130.0,,,22.0,8.0,92.0,8.0,,114.0,16.0,90.0,42.0,58.0,,36.0,16.0,14.0,34.0,12.0,2.0,14.0,,64.0,8.0,1076.0
2020-03-27,2482.0,86498.0,65719.0,1340.0,9332.0,101657.0,38.0,40.0,4.0,14.0,4.0,14.0,12.0,218.0,28.0,4.0,,14.0,62.0,14.0,24.0,156.0,,,32.0,8.0,140.0,10.0,,128.0,22.0,102.0,46.0,58.0,,38.0,18.0,16.0,42.0,12.0,8.0,34.0,,72.0,8.0,1292.0
2020-03-28,2485.0,92472.0,73235.0,1574.0,9478.0,121465.0,38.0,40.0,4.0,14.0,6.0,14.0,12.0,358.0,30.0,4.0,,14.0,74.0,20.0,24.0,166.0,,,34.0,8.0,170.0,10.0,,128.0,24.0,104.0,50.0,66.0,,40.0,28.0,20.0,54.0,12.0,8.0,46.0,,76.0,8.0,1366.0
2020-03-29,2489.0,97689.0,80110.0,1798.0,9583.0,140909.0,48.0,46.0,4.0,18.0,6.0,22.0,12.0,396.0,64.0,4.0,,14.0,74.0,26.0,34.0,168.0,,,34.0,12.0,238.0,10.0,,134.0,28.0,132.0,52.0,76.0,,48.0,38.0,28.0,66.0,14.0,8.0,48.0,,82.0,10.0,1828.0
2020-03-30,2491.0,101739.0,87956.0,2041.0,9661.0,161831.0,48.0,54.0,4.0,22.0,6.0,24.0,12.0,414.0,78.0,4.0,,14.0,86.0,26.0,34.0,182.0,,,34.0,12.0,272.0,12.0,,150.0,28.0,152.0,54.0,86.0,,50.0,48.0,34.0,76.0,16.0,8.0,52.0,,92.0,12.0,1966.0
2020-03-31,2493.0,105792.0,95923.0,2316.0,9786.0,188172.0,72.0,70.0,4.0,30.0,10.0,28.0,14.0,470.0,88.0,4.0,,14.0,92.0,30.0,38.0,190.0,,,42.0,14.0,298.0,12.0,,152.0,28.0,162.0,58.0,94.0,,50.0,54.0,34.0,96.0,16.0,8.0,54.0,,98.0,12.0,2254.0
2020-04-01,2496.0,110574.0,104118.0,2715.0,9887.0,213372.0,72.0,74.0,4.0,32.0,10.0,32.0,22.0,596.0,114.0,6.0,,14.0,98.0,34.0,42.0,202.0,,,48.0,18.0,326.0,16.0,,156.0,44.0,194.0,58.0,102.0,,62.0,64.0,36.0,104.0,18.0,10.0,56.0,,104.0,12.0,2610.0
2020-04-02,2498.0,115242.0,112065.0,3107.0,9976.0,243762.0,84.0,78.0,4.0,34.0,10.0,36.0,24.0,666.0,126.0,8.0,,16.0,104.0,42.0,52.0,216.0,,,50.0,18.0,352.0,18.0,,172.0,48.0,196.0,58.0,112.0,,68.0,68.0,36.0,112.0,26.0,10.0,58.0,,104.0,14.0,2780.0
2020-04-03,2500.0,119827.0,119199.0,3517.0,10062.0,275586.0,94.0,82.0,4.0,38.0,12.0,42.0,26.0,758.0,142.0,10.0,,18.0,108.0,50.0,60.0,248.0,,,50.0,24.0,376.0,18.0,,184.0,48.0,212.0,64.0,134.0,,72.0,84.0,38.0,134.0,30.0,16.0,68.0,,116.0,16.0,3256.0
2020-04-04,2501.0,124632.0,126168.0,3862.0,10156.0,308853.0,96.0,84.0,4.0,52.0,16.0,44.0,28.0,930.0,146.0,10.0,,22.0,110.0,50.0,64.0,256.0,,,54.0,28.0,388.0,20.0,,190.0,48.0,244.0,68.0,154.0,,74.0,130.0,48.0,152.0,36.0,18.0,72.0,,122.0,22.0,3668.0
2020-04-05,2503.0,128948.0,131646.0,4403.0,10237.0,337072.0,96.0,102.0,4.0,62.0,16.0,54.0,32.0,1132.0,164.0,10.0,,26.0,110.0,58.0,68.0,268.0,,,56.0,30.0,422.0,20.0,,200.0,54.0,284.0,72.0,174.0,,78.0,152.0,52.0,174.0,50.0,24.0,78.0,,138.0,26.0,4030.0
2020-04-06,2505.0,132547.0,136675.0,4753.0,10284.0,366667.0,100.0,128.0,4.0,76.0,18.0,58.0,38.0,1132.0,204.0,12.0,144.0,28.0,124.0,66.0,70.0,310.0,84.0,6.0,56.0,34.0,422.0,24.0,38.0,200.0,58.0,314.0,78.0,196.0,8.0,78.0,166.0,56.0,200.0,58.0,24.0,94.0,4.0,138.0,30.0,2824.0
2020-04-07,2507.0,135586.0,141942.0,5086.0,10331.0,396223.0,118.0,162.0,4.0,94.0,20.0,68.0,40.0,1298.0,226.0,14.0,144.0,34.0,138.0,76.0,76.0,336.0,84.0,6.0,82.0,40.0,490.0,24.0,38.0,238.0,64.0,360.0,86.0,220.0,8.0,88.0,196.0,72.0,222.0,66.0,32.0,100.0,4.0,168.0,34.0,5258.0
2020-04-08,2509.0,139422.0,148220.0,5589.0,10384.0,429052.0,136.0,214.0,4.0,114.0,22.0,78.0,42.0,1518.0,246.0,16.0,144.0,38.0,154.0,88.0,86.0,360.0,84.0,6.0,108.0,46.0,566.0,24.0,38.0,278.0,70.0,410.0,94.0,248.0,8.0,98.0,226.0,92.0,242.0,76.0,40.0,106.0,4.0,200.0,38.0,6050.0
2020-04-09,2512.0,143626.0,153222.0,5988.0,10423.0,461437.0,150.0,242.0,4.0,124.0,24.0,80.0,42.0,1650.0,260.0,18.0,144.0,42.0,172.0,92.0,90.0,388.0,84.0,6.0,126.0,50.0,618.0,24.0,38.0,298.0,78.0,444.0,98.0,268.0,8.0,104.0,244.0,106.0,258.0,82.0,48.0,110.0,4.0,224.0,40.0,6528.0
2020-04-10,2513.0,147577.0,158273.0,6782.0,10450.0,496535.0,168.0,280.0,4.0,146.0,26.0,86.0,56.0,1854.0,282.0,20.0,144.0,46.0,194.0,100.0,100.0,414.0,84.0,6.0,150.0,58.0,710.0,24.0,38.0,332.0,86.0,492.0,104.0,298.0,8.0,114.0,286.0,124.0,284.0,90.0,62.0,116.0,4.0,254.0,44.0,7376.0
2020-04-11,2516.0,152271.0,163027.0,7261.0,10480.0,526396.0,186.0,314.0,4.0,166.0,28.0,90.0,68.0,2040.0,306.0,22.0,144.0,50.0,218.0,106.0,106.0,440.0,84.0,6.0,170.0,62.0,790.0,24.0,38.0,368.0,94.0,538.0,110.0,334.0,8.0,122.0,324.0,142.0,312.0,96.0,72.0,122.0,4.0,284.0,46.0,8126.0
2020-04-12,2519.0,156363.0,166831.0,7746.0,10512.0,555313.0,204.0,368.0,4.0,192.0,30.0,94.0,80.0,2276.0,330.0,24.0,144.0,54.0,242.0,116.0,116.0,466.0,84.0,6.0,196.0,66.0,878.0,24.0,38.0,410.0,102.0,592.0,120.0,372.0,8.0,130.0,368.0,162.0,340.0,104.0,84.0,130.0,4.0,316.0,48.0,9010.0
2020-04-13,2522.0,159516.0,170099.0,8143.0,10537.0,580619.0,204.0,368.0,4.0,192.0,30.0,94.0,80.0,2276.0,330.0,24.0,144.0,54.0,242.0,116.0,116.0,466.0,84.0,6.0,196.0,66.0,878.0,24.0,38.0,410.0,102.0,592.0,120.0,372.0,8.0,130.0,368.0,162.0,340.0,104.0,84.0,130.0,4.0,316.0,48.0,9010.0
2020-04-14,2524.0,162488.0,172541.0,8622.0,10564.0,607670.0,214.0,423.0,4.0,217.0,36.0,100.0,88.0,2481.0,353.0,25.0,144.0,55.0,259.0,129.0,124.0,482.0,84.0,6.0,212.0,73.0,959.0,24.0,38.0,438.0,106.0,631.0,126.0,406.0,8.0,136.0,405.0,177.0,359.0,110.0,94.0,138.0,4.0,341.0,51.0,9748.0
2020-04-15,2526.0,165155.0,177644.0,9044.0,10591.0,636350.0,234.0,514.0,4.0,248.0,48.0,108.0,102.0,2824.0,386.0,26.0,144.0,57.0,284.0,148.0,136.0,516.0,84.0,6.0,231.0,81.0,1089.0,30.0,38.0,479.0,112.0,696.0,135.0,463.0,8.0,143.0,467.0,198.0,391.0,118.0,109.0,159.0,4.0,371.0,55.0,10958.0
