Date_Confirmed,AGUASCALIENTES,BAJA CALIFORNIA,"BAJA CALIFORNIA
SUR",BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,CIUDAD DE MÉXICO,COAHUILA,COLIMA,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MICHOACÁN,MORELOS,MÉXICO,NAYARIT,NUEVO LEÓN,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSÍ,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATÁN,ZACATECAS
02/27/2020,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/2020,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
02/29/2020,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2020,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/06/2020,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
03/07/2020,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
03/11/2020,,,,,,,,5.0,,,,,,,,,,2.0,,1.0,,,1.0,,,,,,,,,,
03/12/2020,,,,,,,,,,,1.0,,,,,,,3.0,,,,,2.0,,,,,,,,,,
03/13/2020,,,,,,,,11.0,,,,,,,,,,,,,,1.0,4.0,1.0,,,,,,,,1.0,
03/14/2020,,,,,,,,17.0,,,,,,,2.0,,,4.0,,3.0,1.0,3.0,,,1.0,,,,,,,,
03/15/2020,,,,,,,,18.0,,,2.0,,2.0,,,,,,,5.0,2.0,4.0,6.0,,2.0,2.0,,,,,,,
03/16/2020,1.0,,,,,,,21.0,,,3.0,,,,,,,9.0,,13.0,,8.0,7.0,4.0,,,,,,,,4.0,
03/17/2020,,,,,,,1.0,,,,,1.0,,,5.0,,,10.0,,14.0,,9.0,,,,,1.0,,1.0,,,5.0,
03/18/2020,,2.0,,,,,,24.0,,1.0,,4.0,,,6.0,,,,,19.0,,,,6.0,3.0,,,1.0,2.0,,2.0,8.0,
03/19/2020,4.0,,,,,2.0,,31.0,,,,,4.0,2.0,22.0,,,,,,,11.0,9.0,,7.0,3.0,2.0,,,,,13.0,
03/20/2020,,4.0,,,,,2.0,32.0,,,4.0,,,,28.0,,2.0,14.0,,29.0,,14.0,11.0,11.0,,,,2.0,,,4.0,,
03/21/2020,,8.0,,1.0,,,,46.0,3.0,2.0,5.0,,,3.0,32.0,,,,1.0,32.0,,16.0,14.0,12.0,9.0,,,4.0,3.0,,7.0,14.0,1.0
03/22/2020,,11.0,,,1.0,,5.0,57.0,10.0,,,,,5.0,41.0,3.0,,22.0,,35.0,3.0,,,,12.0,4.0,4.0,5.0,4.0,,,19.0,2.0
03/23/2020,6.0,13.0,,2.0,2.0,,,61.0,12.0,,,7.0,5.0,7.0,46.0,7.0,,,,40.0,4.0,,16.0,21.0,16.0,,,6.0,5.0,,,,3.0
03/24/2020,,,,,,,6.0,67.0,,,,12.0,6.0,,,8.0,,,,52.0,,22.0,,22.0,,,,,,,,24.0,
03/25/2020,12.0,14.0,,5.0,,4.0,,83.0,,,,19.0,7.0,,,10.0,,26.0,4.0,,7.0,34.0,18.0,,17.0,,,,6.0,1.0,,29.0,
03/26/2020,13.0,19.0,2.0,,,,,84.0,13.0,,,23.0,,12.0,65.0,11.0,4.0,46.0,,57.0,8.0,45.0,21.0,29.0,18.0,8.0,7.0,17.0,,,,32.0,4.0
03/27/2020,19.0,20.0,,7.0,,7.0,,109.0,14.0,,7.0,31.0,,,78.0,16.0,,70.0,5.0,64.0,11.0,51.0,23.0,,19.0,9.0,8.0,21.0,,4.0,17.0,36.0,
03/28/2020,,,,,3.0,,,179.0,15.0,,,37.0,10.0,,83.0,17.0,,85.0,,,12.0,52.0,25.0,33.0,20.0,14.0,10.0,27.0,,,23.0,38.0,
03/29/2020,24.0,23.0,,9.0,,11.0,,198.0,32.0,,,,13.0,17.0,84.0,,6.0,119.0,,67.0,14.0,66.0,26.0,38.0,24.0,19.0,14.0,33.0,7.0,,24.0,41.0,5.0
03/30/2020,,27.0,,11.0,,12.0,,207.0,39.0,,,43.0,,,91.0,,,136.0,6.0,75.0,,76.0,27.0,43.0,25.0,24.0,17.0,38.0,8.0,,26.0,46.0,6.0
03/31/2020,36.0,35.0,,15.0,5.0,14.0,7.0,235.0,44.0,,,46.0,15.0,19.0,95.0,21.0,7.0,149.0,,76.0,,81.0,29.0,47.0,,27.0,,48.0,,,27.0,49.0,
04/01/2020,,37.0,,16.0,,16.0,11.0,298.0,57.0,3.0,,49.0,17.0,21.0,101.0,24.0,9.0,163.0,8.0,78.0,22.0,97.0,,51.0,31.0,32.0,18.0,52.0,9.0,5.0,28.0,52.0,
