Date_Confirmed,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de Mexico,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,Nuevo Leon,Oaxaca,Puebla,Queretaro,Quintana Roo,San Luis Potosi,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
2020-04-12,784,1734,822,120,343,414,7682,1919,134,361,1774,527,455,3435,3283,642,379,210,3601,422,1302,527,908,933,1194,678,1203,607,431,1498,716,305
2020-04-13,821,1912,962,164,356,482,8630,2135,141,385,1877,568,474,3614,3541,712,421,231,3874,441,1453,558,967,1034,1337,725,1249,677,484,1629,756,320
2020-04-14,954,2155,1073,212,403,549,9949,2318,155,408,2014,623,506,3813,4005,785,473,252,4207,477,1582,617,1022,1138,1484,790,1346,770,578,1719,840,343
2020-04-15,1029,2440,1158,242,443,651,11300,2515,161,427,2173,679,528,4063,4460,850,517,269,4716,508,1723,658,1093,1231,1681,867,1435,903,681,1865,906,375
2020-04-16,1101,2724,1238,277,497,806,12632,2847,165,475,2322,723,545,4311,4884,943,569,287,5370,536,1866,705,1138,1310,1837,935,1516,1115,723,1981,966,414
2020-04-17,1186,3008,1317,305,539,915,14541,3142,190,509,2615,801,562,4630,5436,1203,627,312,5672,571,1984,747,1218,1415,2072,1016,1618,1280,800,2114,1052,449
2020-04-18,1210,3152,1331,332,575,999,15326,3268,195,521,2808,825,578,4801,5624,1346,648,323,5862,593,2050,767,1298,1465,2169,1053,1720,1493,843,2148,1191,483
2020-04-19,1235,3286,1411,344,602,1047,16277,3398,200,531,3030,865,613,4954,5950,1429,660,331,5902,624,2173,795,1323,1520,2307,1104,1866,1637,882,2285,1228,486
2020-04-20,1243,3442,1451,365,623,1079,17054,3732,202,585,3192,897,641,5170,6162,1544,691,345,6095,644,2224,816,1409,1565,2406,1168,2084,1743,910,2348,1303,525
2020-04-21,1345,3789,1543,393,661,1133,18059,3935,207,625,3462,932,688,5402,6761,1706,734,370,6283,667,2329,849,1490,1622,2504,1246,2256,1888,949,2422,1355,555
2020-04-22,1415,4033,1610,412,731,1254,19713,4431,215,702,3811,994,750,6034,7600,1815,790,400,6666,713,2420,895,1629,1729,2702,1372,2473,2079,1018,2674,1417,608
2020-04-23,1546,4244,1625,427,777,1334,21152,4638,219,739,4209,1067,780,6442,8206,1951,865,434,7059,738,2526,920,1708,1792,2824,1445,2764,2278,1081,2842,1535,651
2020-04-24,1653,4467,1650,456,825,1485,22648,4868,228,772,4542,1122,850,6836,9068,2101,932,462,7338,748,2673,948,1808,1859,2979,1508,2955,2487,1131,3020,1608,695
2020-04-25,1678,4616,1702,490,887,1622,23561,5083,256,836,4828,1156,898,7255,9906,2228,994,493,7724,805,2830,979,1876,1961,3137,1603,3212,2621,1199,3171,1786,750
2020-04-26,1688,4787,1765,544,929,1698,24406,5270,263,872,5073,1231,968,7461,10431,2330,1056,534,8325,846,2930,994,1971,2044,3267,1689,3331,2902,1266,3335,1879,802
2020-04-27,1818,4920,1805,576,989,1773,25493,5485,278,900,5301,1300,1013,7850,11133,2419,1112,561,8688,906,3091,1030,2142,2121,3469,1785,3559,3095,1321,3634,2024,859
2020-04-28,2020,5316,1860,614,1065,2004,27440,5707,292,949,5721,1416,1121,8314,12420,2654,1294,619,9111,970,3294,1088,2285,2228,3720,1913,3833,3307,1458,3862,2223,944
2020-04-29,2203,5696,1905,640,1147,2140,29464,5858,306,1012,6335,1523,1184,8680,13472,2833,1436,668,9529,1044,3470,1151,2381,2356,3929,2013,4066,3636,1567,4111,2381,1004
2020-04-30,2451,6002,1969,676,1214,2353,31635,6147,325,1071,6936,1622,1262,9009,14844,3075,1546,774,9881,1096,3667,1189,2563,2466,4173,2131,4260,3888,1650,4375,2610,1076
2020-05-01,2658,6229,2030,714,1293,2532,33206,6485,339,1121,7654,1744,1349,9464,16092,3246,1691,815,10264,1171,3894,1250,2668,2610,4567,2245,4575,4172,1744,4565,2869,1129
2020-05-02,2839,6390,2074,745,1365,2681,34793,6746,352,1168,8073,1800,1413,9703,17100,3428,1826,855,10563,1235,4071,1287,2797,2719,4769,2309,4693,4387,1821,4755,3031,1160
2020-05-03,2907,6574,2106,764,1412,2851,36521,6863,362,1231,8360,1910,1453,9975,18231,3514,1883,919,10917,1278,4210,1325,2874,2821,4958,2420,4897,4576,1879,4913,3190,1191
2020-05-04,3016,6910,2135,795,1449,2984,38734,7074,375,1290,8630,2075,1556,10430,19863,3658,2049,974,11353,1320,4391,1365,2964,2917,5190,2515,5083,4722,1943,5226,3404,1248
2020-05-05,3340,7436,2187,833,1546,3247,40782,7285,384,1325,9136,2235,1663,10713,21556,3840,2213,1036,11683,1396,4609,1402,3057,3016,5531,2682,5322,4916,2035,5454,3597,1293
2020-05-06,3551,7798,2236,886,1654,3429,43451,7448,406,1489,9617,2348,1767,11050,23646,4018,2365,1110,12255,1462,4771,1460,3175,3159,5882,2834,5558,5115,2117,5695,3802,1354
2020-05-07,3724,8091,2285,936,1762,3691,46806,7643,429,1577,10168,2521,1935,11457,26602,4251,2544,1216,12756,1525,5042,1508,3278,3316,6245,3033,5974,5437,2235,6018,4010,1431
2020-05-08,3968,8507,2330,977,1878,3923,50120,7914,469,1708,10814,2634,2075,11788,29304,4548,2737,1309,13172,1594,5289,1566,3402,3461,6485,3216,6494,5648,2339,6365,4222,1493
2020-05-09,4122,8869,2368,1020,2037,4083,52444,8246,485,1790,11354,2783,2162,12254,31301,4787,2920,1373,13460,1644,5529,1653,3525,3598,6660,3448,6751,6175,2456,6720,4437,1540
2020-05-10,4190,9085,2422,1074,2122,4171,53955,8458,502,1830,11697,2951,2267,12456,32607,4898,3008,1414,13787,1706,5692,1717,3573,3787,6884,3669,7031,6478,2502,6901,4578,1588
2020-05-11,4400,9257,2473,1123,2192,4318,55656,8744,519,1871,12036,3113,2354,12873,34445,5017,3096,1475,14247,1787,5932,1806,3709,3909,7104,3808,7329,6630,2608,7285,4739,1618
2020-05-12,4651,9645,2551,1173,2336,4581,58656,9050,536,1985,12697,3381,2489,13483,37698,5436,3293,1544,14927,1862,6239,1922,3836,4147,7469,4042,7814,6938,2718,7725,4930,1672
2020-05-13,4928,10126,2611,1239,2463,4776,61646,9455,553,2063,13337,3667,2613,13972,40166,5779,3482,1610,15520,2000,6543,2035,3965,4397,7757,4391,8196,7223,2895,8039,5131,1731
2020-05-14,5324,10547,2696,1325,2656,5056,65123,9934,592,2186,13980,3859,2755,14506,42768,6159,3687,1708,16381,2162,6831,2176,4125,4676,8126,4720,8599,7577,3061,8471,5392,1800
2020-05-15,5593,11104,2758,1401,2824,5403,68996,10317,619,2311,14590,4135,2956,15047,45149,6627,3869,1801,17013,2332,7264,2308,4264,4968,8535,5027,9043,8131,3261,8789,5661,1870
2020-05-16,5693,11468,2814,1458,3018,5552,71871,10786,642,2381,15164,4362,3136,15598,46731,7095,3993,1876,17466,2504,7599,2448,4447,5234,8858,5367,9497,8566,3393,9251,5858,1940
2020-05-17,5731,11706,2866,1523,3174,5715,73797,11062,672,2437,15570,4549,3263,16072,47944,7390,4135,1936,18045,2694,7818,2560,4522,5426,9124,5676,9893,8840,3527,9593,6008,2011
2020-05-18,5995,11980,2896,1559,3284,5877,77294,11416,720,2558,15849,4862,3454,16482,49992,7555,4211,1998,18372,2998,8101,2728,4653,5577,9472,5871,10348,9097,3636,10007,6171,2069
2020-05-19,6250,12563,2957,1627,3521,6337,81694,12109,769,2663,16685,5377,3677,16964,53141,8221,4382,2097,19039,3388,8814,3014,4774,5780,9999,6507,10753,9901,3851,10730,6382,2126
2020-05-20,6445,13002,3011,1771,3773,6766,86516,12622,818,2781,17642,5774,3952,17623,56280,8773,4562,2207,19835,3756,9274,3298,4926,6045,10527,6988,11613,10837,4165,11357,6688,2232
2020-05-21,6657,13747,3104,1901,4155,7226,92526,13367,885,2991,18710,6263,4276,18418,59745,9532,4788,2362,20829,4142,10089,3573,5192,6430,11076,7750,12426,11459,4467,12120,7059,2332
