,Date_Confirmed,Region,total,daily
0,2020-01-04,China,2488.0,3.0
1,2020-02-04,China,2491.0,3.0
2,2020-03-04,China,2493.0,3.0
3,2020-03-13,China,2451.0,1.0
4,2020-03-14,China,2452.0,1.0
5,2020-03-15,China,2452.0,1.0
6,2020-03-16,China,2453.0,1.0
7,2020-03-17,China,2454.0,1.0
8,2020-03-18,China,2455.0,1.0
9,2020-03-19,China,2456.0,1.0
10,2020-03-20,China,2457.0,1.0
11,2020-03-21,China,2459.0,1.0
12,2020-03-22,China,2460.0,2.0
13,2020-03-23,China,2462.0,2.0
14,2020-03-24,China,2465.0,2.0
15,2020-03-25,China,2467.0,2.0
16,2020-03-26,China,2470.0,3.0
17,2020-03-27,China,2473.0,3.0
18,2020-03-28,China,2476.0,3.0
19,2020-03-29,China,2479.0,3.0
20,2020-03-30,China,2482.0,3.0
21,2020-03-31,China,2485.0,3.0
22,2020-04-04,China,2495.0,2.0
23,2020-04-13,China,2514.0,2.0
24,2020-04-14,China,2516.0,2.0
25,2020-04-15,China,2519.0,2.0
26,2020-04-16,China,2521.0,2.0
27,2020-04-17,China,2525.0,4.0
28,2020-04-18,China,2528.0,3.0
29,2020-04-19,China,2531.0,3.0
30,2020-04-20,China,2533.0,3.0
31,2020-04-21,China,2536.0,2.0
32,2020-05-03,China,2422.0,8.0
33,2020-05-04,China,2497.0,2.0
34,2020-06-03,China,2430.0,8.0
35,2020-06-04,China,2499.0,2.0
36,2020-07-03,China,2436.0,6.0
37,2020-07-04,China,2501.0,2.0
38,2020-08-03,China,2440.0,4.0
39,2020-08-04,China,2503.0,2.0
40,2020-09-03,China,2443.0,3.0
41,2020-09-04,China,2505.0,2.0
42,2020-10-03,China,2446.0,3.0
43,2020-10-04,China,2507.0,2.0
44,2020-11-03,China,2448.0,2.0
45,2020-11-04,China,2509.0,2.0
46,2020-12-03,China,2450.0,2.0
47,2020-12-04,China,2512.0,2.0
48,2020-01-04,Italy,96479.0,5170.0
49,2020-02-04,Italy,101429.0,4950.0
50,2020-03-04,Italy,106191.0,4761.0
51,2020-03-13,Italy,10738.0,1861.0
52,2020-03-14,Italy,12920.0,2182.0
53,2020-03-15,Italy,15401.0,2482.0
54,2020-03-16,Italy,18088.0,2687.0
55,2020-03-17,Italy,21139.0,3051.0
56,2020-03-18,Italy,24461.0,3322.0
57,2020-03-19,Italy,28543.0,4082.0
58,2020-03-20,Italy,32737.0,4194.0
59,2020-03-21,Italy,37369.0,4632.0
60,2020-03-22,Italy,42282.0,4913.0
61,2020-03-23,Italy,47417.0,5135.0
62,2020-03-24,Italy,52798.0,5381.0
63,2020-03-25,Italy,58323.0,5525.0
64,2020-03-26,Italy,63974.0,5651.0
65,2020-03-27,Italy,69613.0,5640.0
66,2020-03-28,Italy,75169.0,5556.0
67,2020-03-29,Italy,80677.0,5507.0
68,2020-03-30,Italy,86078.0,5402.0
69,2020-03-31,Italy,91309.0,5231.0
70,2020-04-04,Italy,110785.0,4594.0
71,2020-04-13,Italy,147766.0,3853.0
72,2020-04-14,Italy,151609.0,3843.0
73,2020-04-15,Italy,155285.0,3676.0
74,2020-04-16,Italy,158902.0,3616.0
75,2020-04-17,Italy,162453.0,3551.0
76,2020-04-18,Italy,165832.0,3379.0
77,2020-04-19,Italy,169062.0,3230.0
78,2020-04-20,Italy,172163.0,3102.0
79,2020-04-21,Italy,175230.0,3067.0
80,2020-05-03,Italy,2171.0,458.0
81,2020-05-04,Italy,115251.0,4466.0
82,2020-06-03,Italy,2706.0,535.0
83,2020-06-04,Italy,119652.0,4401.0
84,2020-07-03,Italy,3385.0,679.0
85,2020-07-04,Italy,123908.0,4256.0
86,2020-08-03,Italy,4197.0,812.0
87,2020-08-04,Italy,128029.0,4121.0
88,2020-09-03,Italy,5216.0,1019.0
89,2020-09-04,Italy,132084.0,4055.0
