Region,Region_ID,Date_Confirmed,Daily_SINAVE,Total_SINAVE
AGUASCALIENTES,1,2020-05-06,3.0,292
AGUASCALIENTES,1,2020-05-05,3.0,289
AGUASCALIENTES,1,2020-05-04,21.0,286
AGUASCALIENTES,1,2020-05-03,12.0,265
AGUASCALIENTES,1,2020-05-02,29.0,253
AGUASCALIENTES,1,2020-05-01,19.0,224
AGUASCALIENTES,1,2020-04-30,20.0,205
AGUASCALIENTES,1,2020-04-29,18.0,185
AGUASCALIENTES,1,2020-04-28,6.0,167
AGUASCALIENTES,1,2020-04-27,13.0,161
AGUASCALIENTES,1,2020-04-26,1.0,148
AGUASCALIENTES,1,2020-04-25,1.0,147
AGUASCALIENTES,1,2020-04-24,40.0,146
AGUASCALIENTES,1,2020-04-23,6.0,106
AGUASCALIENTES,1,2020-04-22,19.0,100
AGUASCALIENTES,1,2020-04-21,0.0,81
AGUASCALIENTES,1,2020-04-20,0.0,81
AGUASCALIENTES,1,2020-04-19,4.0,81
AGUASCALIENTES,1,2020-04-18,0.0,77
AGUASCALIENTES,1,2020-04-17,6.0,77
AGUASCALIENTES,1,2020-04-16,6.0,71
AGUASCALIENTES,1,2020-04-15,0.0,65
AGUASCALIENTES,1,2020-04-14,10.0,65
AGUASCALIENTES,1,2020-04-13,0.0,55
AGUASCALIENTES,1,2020-04-12,0.0,55
AGUASCALIENTES,1,2020-04-11,2.0,55
AGUASCALIENTES,1,2020-04-10,0.0,53
AGUASCALIENTES,1,2020-04-09,0.0,53
AGUASCALIENTES,1,2020-04-08,0.0,53
AGUASCALIENTES,1,2020-04-07,4.0,53
AGUASCALIENTES,1,2020-04-06,0.0,49
AGUASCALIENTES,1,2020-04-05,0.0,49
AGUASCALIENTES,1,2020-04-04,1.0,49
AGUASCALIENTES,1,2020-04-03,1.0,48
AGUASCALIENTES,1,2020-04-02,11.0,47
AGUASCALIENTES,1,2020-04-01,0.0,36
BAJA CALIFORNIA,2,2020-04-01,,37
BAJA CALIFORNIA,2,2020-04-02,1.0,38
BAJA CALIFORNIA,2,2020-04-03,11.0,49
BAJA CALIFORNIA,2,2020-04-04,5.0,54
BAJA CALIFORNIA,2,2020-04-05,15.0,69
BAJA CALIFORNIA,2,2020-04-06,43.0,112
BAJA CALIFORNIA,2,2020-04-07,22.0,134
BAJA CALIFORNIA,2,2020-04-08,90.0,224
BAJA CALIFORNIA,2,2020-04-09,14.0,238
BAJA CALIFORNIA,2,2020-04-10,20.0,258
BAJA CALIFORNIA,2,2020-04-11,21.0,279
BAJA CALIFORNIA,2,2020-04-12,57.0,336
BAJA CALIFORNIA,2,2020-04-13,31.0,367
BAJA CALIFORNIA,2,2020-04-14,44.0,411
BAJA CALIFORNIA,2,2020-04-15,52.0,463
BAJA CALIFORNIA,2,2020-04-16,41.0,504
BAJA CALIFORNIA,2,2020-04-17,30.0,534
BAJA CALIFORNIA,2,2020-04-18,74.0,608
BAJA CALIFORNIA,2,2020-04-19,71.0,679
BAJA CALIFORNIA,2,2020-04-20,61.0,740
BAJA CALIFORNIA,2,2020-04-21,174.0,914
BAJA CALIFORNIA,2,2020-04-22,71.0,985
BAJA CALIFORNIA,2,2020-04-23,90.0,1075
BAJA CALIFORNIA,2,2020-04-24,81.0,1156
BAJA CALIFORNIA,2,2020-04-25,41.0,1197
BAJA CALIFORNIA,2,2020-04-26,74.0,1271
BAJA CALIFORNIA,2,2020-04-27,30.0,1301
BAJA CALIFORNIA,2,2020-04-28,90.0,1391
BAJA CALIFORNIA,2,2020-04-29,104.0,1495
BAJA CALIFORNIA,2,2020-04-30,62.0,1557
BAJA CALIFORNIA,2,2020-05-01,12.0,1569
BAJA CALIFORNIA,2,2020-05-02,13.0,1582
BAJA CALIFORNIA,2,2020-05-03,78.0,1660
BAJA CALIFORNIA,2,2020-05-04,148.0,1808
BAJA CALIFORNIA,2,2020-05-05,181.0,1989
BAJA CALIFORNIA,2,2020-05-06,108.0,2097
BAJA CALIFORNIA SUR,3,2020-05-06,7.0,358
BAJA CALIFORNIA SUR,3,2020-05-05,7.0,351
BAJA CALIFORNIA SUR,3,2020-05-04,5.0,344
